correct_name
National Gallery of Modern Art
Academy of Fine Arts
Birla Academy of Fine Art and Culture
Sri Chitra Art Gallery
Salar Jung Museum
Kerala Folklore Museum
Gandhi Smriti
Victoria Memorial Hall
Partition Museum
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (formerly Prince of Wales Museum)
Indian Museum
National Museum
City Palace Museum
Jaisalmer War Museum
Tribal Museum
Heritage Transport Museum
DakshinaChitra Museum
Visvesvaraya Industrial and Technological Museum
Nehru Science Centre
National Science Centre
Birla Science Museum
Birla Industrial & Technological Museum
Science City
Kerala Science and Technology Museum
Gujarat Science City
Regional Science Centre
Regional Science Centre and Planetarium
Jalan Museum (Quila House)
Gandhi Smarak Sangrahalaya (Gandhi Memorial Museum) 
Teen Murti Bhavan (Nehru Memorial Museum and Library)
Albert Hall Museum
Jagdish and Kamla Mittal Museum of Indian Art
Maharaja Fateh Singh Museum
Kirti Mandir
Government Museum
Archaeological Museum
Indian Museum of Archaeology
National Museum of Athropology
State Archaelogical Museum
Archaeological Museum
Government Museum
National Museum of Minerals
Rail Museum
Kolkata Panorama
National museum of Indian cinema
Manav Sangrahalaya
Kerala Museum
Kumbharwada Museum
Rajiv Gandhi Musuem of Contemporary Art
Raman Research Institute Museum
Textiles&Art Museum
Army Museum
Gandhi Ashram
Taj Museum
Indira Gandhi Rashtriya Manav Sangrahalaya
Red Fort
Mysore Palace
Kiran Nadar Museum of Art
National Rail Museum
The Bombay Natural History Society (BNHS) Museum
Rumi Darwaza Museum
Shankar’s International Dolls Museum
TATA Institute of Fundamental Research (TIFR) Museum
Raja Dinkar Kelkar Museum
Amaravathi Archaeological Museum
Chandragiri Archaeological Museum
Nagarjunakonda Archaeological Museum
Victoria Jubilee Museum (Bapu Museum)
Bhagwan Mahavir Government Museum
Baudhasree State Archaeological Museum
ASP Government Museum and Research Institute
Sri Rallabandi Subbarao Government Museum
